Team Name,Arena Name,Arena Location,Seating Capacity,Opening Year
Anaheim Ducks,Honda Center,"Anaheim, California",17174,1993
Arizona Coyotes,Gila River Arena,"Glendale, Arizona",17125,2003
Boston Bruins,TD Garden,"Boston, Massachusetts",17565,1995
Buffalo Sabres,KeyBank Center,"Buffalo, New York",19070,1996
Calgary Flames,Scotiabank Saddledome,"Calgary, Alberta",19289,1983
Carolina Hurricanes,PNC Arena,"Raleigh, North Carolina",18680,1999
Chicago Blackhawks,United Center,"Chicago, Illinois",19717,1994
Colorado Avalanche,Pepsi Center,"Denver, Colorado",17809,1999
Columbus Blue Jackets,Nationwide Arena,"Columbus, Ohio",18144,2000
Dallas Stars,American Airlines Center,"Dallas, Texas",18532,2001
Detroit Red Wings,Little Caesars Arena,"Detroit, Michigan",19515,2017
Edmonton Oilers,Rogers Place,"Edmonton, Alberta",18347,2016
Florida Panthers,BB&T Center,"Sunrise, Florida",19250,1998
Los Angeles Kings,Staples Center,"Los Angeles, California",18230,1999
Minnesota Wild,Xcel Energy Center,"Saint Paul, Minnesota",17954,2004
Montreal Canadiens,Bell Centre,"Montreal, Quebec",21302,1996
Nashville Predators,Bridgestone Arena,"Nashville, Tennessee",17113,1996
New Jersey Devils,Prudential Center,"Newark, New Jersey",16514,2007
New York Islanders,Nassau Coliseum,"Uniondale, New York",13900,1972
New York Islanders,Barclays Center,"Brooklyn, New York",15795,2012
New York Rangers,Madison Square Garden,"New York City, New York",18006,1968
Ottawa Senators,Canadian Tire Centre,"Ottawa, Ontario",17373,1996
Philadelphia Flyers,Wells Fargo Center,"Philadelphia, Pennsylvania",19543,1996
Pittsburgh Penguins,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387,2010
San Jose Sharks,SAP Center,"San Jose, California",17562,1993
St. Louis Blues,Enterprise Center,"St. Louis, Missouri",18724,1994
Tampa Bay Lightning,Amalie Arena,"Tampa, Florida",19092,1996
Toronto Maple Leafs,Scotiabank Arena,"Toronto, Ontario",18819,1999
Vancouver Canucks,Rogers Arena,"Vancouver, British Columbia",18910,1995
Vegas Golden Knights,T-Mobile Arena,"Paradise, Nevada",17368,2016
Washington Capitals,Capital One Arena,"Washington, D.C.",18506,1997
Winnipeg Jets,Canada Life Centre,"Winnipeg, Manitoba",15321,2004
Seattle Kracken,Climate Pledge Arena,"Seattle, Washington",17459,2021
